TrialNumber,Metric,NormalizationMetric,K,N,Mean,StandardDeviation
0,1,2,500,1,0.00158548265735,0.0067854883493178066
1,1,2,500,1,0.0013172175708,0.002469130637991584
2,1,2,500,1,0.00143975265526,0.0022940069917274986
3,1,2,500,1,0.00148079864957,0.0047402958811247715
4,1,2,500,1,0.00147548699655,0.005064882477952381
0,1,2,500,2,0.0212896861919,0.01610401794704375
1,1,2,500,2,0.0227190621402,0.016240165795157767
2,1,2,500,2,0.0211234491898,0.017071112095386982
3,1,2,500,2,0.0207002547916,0.015364422647986717
4,1,2,500,2,0.0209882091389,0.014653630729995145
0,1,2,500,3,0.0542466640516,0.027794284805934565
1,1,2,500,3,0.0588955052011,0.028041623907555813
2,1,2,500,3,0.0541252547067,0.02973931575787193
3,1,2,500,3,0.0550281564152,0.02731446849335853
4,1,2,500,3,0.052739381541,0.025461085145980448
0,1,2,500,4,0.0881607524482,0.034043516445221265
1,1,2,500,4,0.0936978352801,0.034349386537351125
2,1,2,500,4,0.090196950465,0.035449849993373535
3,1,2,500,4,0.0945742911449,0.03481484210349133
4,1,2,500,4,0.0917105950633,0.034691769382164166
0,1,2,500,5,0.128822506912,0.038624131146035606
1,1,2,500,5,0.12280278202,0.03764987871123837
2,1,2,500,5,0.126794849243,0.03954958906347924
3,1,2,500,5,0.123475568826,0.0367632120262701
4,1,2,500,5,0.127390880235,0.03717531452899729
0,1,2,500,6,0.150019946663,0.040357255860696425
1,1,2,500,6,0.158357636584,0.03872242200631721
2,1,2,500,6,0.163737752482,0.03909320966343275
3,1,2,500,6,0.152515189677,0.04146869077709347
4,1,2,500,6,0.158493589841,0.040289087990574395
0,1,2,500,7,0.19035431027,0.037856312713022054
1,1,2,500,7,0.190070307701,0.040654378670862565
2,1,2,500,7,0.189017617808,0.04258622087597782
3,1,2,500,7,0.185458767106,0.04491364626267293
4,1,2,500,7,0.182005103867,0.04057118622716081
0,1,2,500,8,0.21275701336,0.04185513360198658
1,1,2,500,8,0.21330802714,0.040961377667173476
2,1,2,500,8,0.218193291873,0.039871249513002485
3,1,2,500,8,0.213407127758,0.040911875834269834
4,1,2,500,8,0.208643270039,0.04327022819329638
0,1,2,500,9,0.231966975743,0.04100262226598787
1,1,2,500,9,0.233278747516,0.04337546913909069
2,1,2,500,9,0.245932159321,0.04116883420245037
3,1,2,500,9,0.233012424799,0.0423743619653076
4,1,2,500,9,0.232106956939,0.04285525714386101
0,1,2,500,10,0.2541177441,0.044717352191920544
1,1,2,500,10,0.255888740698,0.04021634258954585
2,1,2,500,10,0.260929524369,0.041524629799879705
3,1,2,500,10,0.259948088436,0.04278123842185821
4,1,2,500,10,0.251476954172,0.046245116201177335
0,1,2,500,20,0.395708099846,0.03774474586249899
1,1,2,500,20,0.398044419301,0.0359313865576579
2,1,2,500,20,0.397029621891,0.03868756115015942
3,1,2,500,20,0.3867278267,0.03910738271463524
4,1,2,500,20,0.399837706681,0.03821250789376891
0,1,2,500,30,0.472029963324,0.03380537448033342
1,1,2,500,30,0.471964453137,0.033056232976663526
2,1,2,500,30,0.466361696371,0.034842032525470176
3,1,2,500,30,0.464375186516,0.037841521508132706
4,1,2,500,30,0.471966948466,0.035620169057727864
0,1,2,500,40,0.521797798132,0.03199963448754738
1,1,2,500,40,0.520799127543,0.03258672234452639
2,1,2,500,40,0.51789179618,0.033381271169128035
3,1,2,500,40,0.521997877117,0.033128909164424736
4,1,2,500,40,0.522322307284,0.03009079886345215
0,1,2,500,50,0.559245794508,0.032463293575156926
1,1,2,500,50,0.559823920874,0.03031390053084901
2,1,2,500,50,0.561782397309,0.030819077450428715
3,1,2,500,50,0.563613528083,0.029874257869106805
4,1,2,500,50,0.562884378387,0.03047856507225261
0,1,2,500,60,0.590139820173,0.02690116632515592
1,1,2,500,60,0.592033185812,0.02742683939311298
2,1,2,500,60,0.591359906763,0.026011545072871893
3,1,2,500,60,0.594753662266,0.028891822299604786
4,1,2,500,60,0.592428410353,0.02802406459510914
0,1,2,500,70,0.614760690976,0.028511045221926743
1,1,2,500,70,0.614936238853,0.02695864824661822
2,1,2,500,70,0.620114180333,0.025296585108182307
3,1,2,500,70,0.612200197263,0.026393152614463303
4,1,2,500,70,0.618130754486,0.026511196993437965
0,1,2,500,80,0.634938472077,0.025287000923744172
1,1,2,500,80,0.632954748928,0.026062088841442142
2,1,2,500,80,0.626398787631,0.02784312392009255
3,1,2,500,80,0.625206312599,0.029528076117441036
4,1,2,500,80,0.636201396982,0.02635323449309924
0,1,2,500,90,0.653780273096,0.024017421118810958
1,1,2,500,90,0.649595313741,0.02624605861457584
2,1,2,500,90,0.656718112055,0.02410180683969984
3,1,2,500,90,0.647893843547,0.026630382123388828
4,1,2,500,90,0.649910922462,0.024752845409911368
0,1,2,500,100,0.666638376312,0.02481305430961348
1,1,2,500,100,0.669368492944,0.023906726900147706
2,1,2,500,100,0.665075604708,0.024634044467475566
3,1,2,500,100,0.666085768316,0.026183027532630933
4,1,2,500,100,0.662148920511,0.025894269287301486
0,2,2,500,1,0.0016041609477,0.004299216363336697
1,2,2,500,1,0.00148623479783,0.004843193925716479
2,2,2,500,1,0.00138327320783,0.0035210672830420678
3,2,2,500,1,0.00154557990136,0.004203212095152794
4,2,2,500,1,0.00162760427278,0.0064345070980428905
0,2,2,500,2,0.0218067459995,0.018194814515955456
1,2,2,500,2,0.0230397467715,0.018414754231123858
2,2,2,500,2,0.0223482695431,0.021166671240749755
3,2,2,500,2,0.0224545912731,0.01662872239722642
4,2,2,500,2,0.0223822251046,0.01799073289418059
0,2,2,500,3,0.0613970931688,0.031305432022091954
1,2,2,500,3,0.0575045564932,0.02867975805178836
2,2,2,500,3,0.0581311492605,0.026825824521475104
3,2,2,500,3,0.0626855187355,0.028780427695257012
4,2,2,500,3,0.0598030861961,0.030862305961267728
0,2,2,500,4,0.0989453240339,0.037363495566273434
1,2,2,500,4,0.0972313604286,0.03751322630338537
2,2,2,500,4,0.0997135340543,0.03741052803127357
3,2,2,500,4,0.0958540553799,0.03699513007894785
4,2,2,500,4,0.103934979551,0.03695308217330448
0,2,2,500,5,0.140161081838,0.041146781356869604
1,2,2,500,5,0.137833997458,0.04168970201940848
2,2,2,500,5,0.131800539492,0.04468626479848427
3,2,2,500,5,0.140082543059,0.03916959267610469
4,2,2,500,5,0.136743827092,0.042506836645986146
0,2,2,500,6,0.169240330379,0.04489050340791751
1,2,2,500,6,0.171506805639,0.04509507567169103
2,2,2,500,6,0.177946755679,0.042468760991291744
3,2,2,500,6,0.173305879536,0.045182274192033786
4,2,2,500,6,0.173544961311,0.04360834062306415
0,2,2,500,7,0.205452201349,0.045208516485893586
1,2,2,500,7,0.209168062247,0.04378645114643932
2,2,2,500,7,0.206943620712,0.04227866492598591
3,2,2,500,7,0.205480914833,0.04703357312421266
4,2,2,500,7,0.197795998839,0.042821294501428055
0,2,2,500,8,0.228382356264,0.04577717951155819
1,2,2,500,8,0.229081487273,0.04237828372060722
2,2,2,500,8,0.227895421996,0.045693969357661866
3,2,2,500,8,0.231168763556,0.044368848466540906
4,2,2,500,8,0.23899647179,0.04261905505261562
0,2,2,500,9,0.252341320462,0.044227088699509046
1,2,2,500,9,0.265072402033,0.042364917331210616
2,2,2,500,9,0.255459949085,0.040451643828990844
3,2,2,500,9,0.259365207021,0.0436920899379823
4,2,2,500,9,0.263175075898,0.04341818113264378
0,2,2,500,10,0.265056642384,0.048443988856757436
1,2,2,500,10,0.272353020115,0.04732744081538196
2,2,2,500,10,0.27324005397,0.045416826488888326
3,2,2,500,10,0.281674587596,0.04607014814033343
4,2,2,500,10,0.266802660096,0.04329692328921317
0,2,2,500,20,0.419198077352,0.04031247369312194
1,2,2,500,20,0.422047454495,0.036484062205187524
2,2,2,500,20,0.414142369562,0.03859116552008665
3,2,2,500,20,0.421451954641,0.041295319585774114
4,2,2,500,20,0.407300245745,0.04038403120485904
0,2,2,500,30,0.497330790548,0.03503633339212001
1,2,2,500,30,0.49029356586,0.03552942954845531
2,2,2,500,30,0.492158198095,0.03418621382286615
3,2,2,500,30,0.494889930679,0.036006712991163585
4,2,2,500,30,0.495528603869,0.03246069660726979
0,2,2,500,40,0.545251934807,0.0324646454793761
1,2,2,500,40,0.552196164713,0.032152022303579886
2,2,2,500,40,0.549252512072,0.03204510640955104
3,2,2,500,40,0.548089231554,0.0310865325798231
4,2,2,500,40,0.546911240347,0.030529127238665642
0,2,2,500,50,0.591410632286,0.028090435608734872
1,2,2,500,50,0.584142397824,0.03181110500068542
2,2,2,500,50,0.584913921692,0.030829370878427617
3,2,2,500,50,0.580159401858,0.03227600522451128
4,2,2,500,50,0.5858392883,0.027455085279467745
0,2,2,500,60,0.612147765829,0.02945794583129594
1,2,2,500,60,0.611856272935,0.026855575153442147
2,2,2,500,60,0.614492598585,0.02738153085263716
3,2,2,500,60,0.617647115681,0.02755902039126446
4,2,2,500,60,0.614696790406,0.028106324895500155
0,2,2,500,70,0.641164958663,0.02532957743052533
1,2,2,500,70,0.639008226078,0.025540822212217814
2,2,2,500,70,0.632933590919,0.026538244697435008
3,2,2,500,70,0.639924376036,0.027026535685806895
4,2,2,500,70,0.633715436822,0.02572638525902198
0,2,2,500,80,0.658829073974,0.025520300781402973
1,2,2,500,80,0.65389302122,0.025641255159583057
2,2,2,500,80,0.657313086127,0.024911688193069246
3,2,2,500,80,0.65489836886,0.024421513248692073
4,2,2,500,80,0.659315167158,0.024286094501023335
0,2,2,500,90,0.671661727828,0.024276356017039293
1,2,2,500,90,0.669182056062,0.02372034309893545
2,2,2,500,90,0.676811598898,0.024904008860667477
3,2,2,500,90,0.676313308362,0.024368919540517495
4,2,2,500,90,0.674471469831,0.025306900047091643
0,2,2,500,100,0.690845331361,0.020659687689262386
1,2,2,500,100,0.687128602589,0.022123305076767488
2,2,2,500,100,0.688553606284,0.022004823945981036
3,2,2,500,100,0.684876548211,0.02298966603504972
4,2,2,500,100,0.683511476222,0.02227778564859631
0,inf,2,500,1,0.00148868856601,0.0023285240830921102
1,inf,2,500,1,0.0014588252933,0.004271405999565019
2,inf,2,500,1,0.00150254422269,0.00481798203131012
3,inf,2,500,1,0.00149465795859,0.0034304968882320577
4,inf,2,500,1,0.00154032340366,0.0030034554223668554
0,inf,2,500,2,0.0205142109982,0.016436167233555343
1,inf,2,500,2,0.0211226531885,0.016423400836082007
2,inf,2,500,2,0.0222766257241,0.017272716093120765
3,inf,2,500,2,0.0196991281855,0.013897750530856005
4,inf,2,500,2,0.0214980552806,0.017418824693542497
0,inf,2,500,3,0.0539246033847,0.026706048394937034
1,inf,2,500,3,0.0536727588861,0.025974354934851666
2,inf,2,500,3,0.0545915785891,0.029423148875570064
3,inf,2,500,3,0.0548752003743,0.02782360318900584
4,inf,2,500,3,0.0556997234858,0.027336695994538352
0,inf,2,500,4,0.0913428298457,0.03351568138457915
1,inf,2,500,4,0.088250376657,0.033060324507911805
2,inf,2,500,4,0.0862877101202,0.03258607649736743
3,inf,2,500,4,0.0868804679532,0.03194258334773457
4,inf,2,500,4,0.0912299481385,0.032471965757234364
0,inf,2,500,5,0.110736035544,0.03756696442380969
1,inf,2,500,5,0.121967280475,0.037801793663838686
2,inf,2,500,5,0.120668465259,0.033969912803047855
3,inf,2,500,5,0.118882720104,0.03473129664272736
4,inf,2,500,5,0.118570182915,0.030926896870544028
0,inf,2,500,6,0.145200757458,0.03762418372818001
1,inf,2,500,6,0.136866573189,0.036051843636414525
2,inf,2,500,6,0.145498277796,0.03569542986861103
3,inf,2,500,6,0.145660233459,0.03876152612818178
4,inf,2,500,6,0.13935615904,0.03251159752494926
0,inf,2,500,7,0.165852781553,0.036915527584453996
1,inf,2,500,7,0.170990890016,0.035978150149514936
2,inf,2,500,7,0.162348559513,0.035430567651421205
3,inf,2,500,7,0.163380547983,0.041970289898553906
4,inf,2,500,7,0.167218156166,0.03494040650120915
0,inf,2,500,8,0.183763529783,0.038006630334484946
1,inf,2,500,8,0.183443066003,0.03866916981736227
2,inf,2,500,8,0.183086679965,0.034850838346103266
3,inf,2,500,8,0.180885326205,0.036495143506964714
4,inf,2,500,8,0.177785395072,0.03514067533687808
0,inf,2,500,9,0.208057219431,0.0344569721806981
1,inf,2,500,9,0.197617488488,0.03382944115833948
2,inf,2,500,9,0.19840587358,0.0358689224797211
3,inf,2,500,9,0.201104663298,0.03493708817958051
4,inf,2,500,9,0.204125098217,0.039642172771391246
0,inf,2,500,10,0.2033580684,0.040357819950965004
1,inf,2,500,10,0.220717403629,0.03951260387306063
2,inf,2,500,10,0.215817948377,0.03534254079801195
3,inf,2,500,10,0.208317501646,0.037611464190673294
4,inf,2,500,10,0.211167390025,0.03848822719678761
0,inf,2,500,20,0.297100725332,0.03493859530766875
1,inf,2,500,20,0.288482901637,0.0375099515417104
2,inf,2,500,20,0.308798472982,0.03256480947259642
3,inf,2,500,20,0.306723420239,0.032935035772805994
4,inf,2,500,20,0.294473207153,0.03711433527596002
0,inf,2,500,30,0.344976666495,0.03163842320364074
1,inf,2,500,30,0.340154845056,0.03215913466153858
2,inf,2,500,30,0.334401488148,0.0367906433438226
3,inf,2,500,30,0.341418461862,0.03429717722895429
4,inf,2,500,30,0.343310372296,0.033764727286467885
0,inf,2,500,40,0.37914978871,0.03055576080614092
1,inf,2,500,40,0.371585091335,0.03515934638233805
2,inf,2,500,40,0.37587893348,0.034330379267415556
3,inf,2,500,40,0.388294072119,0.03222765799367192
4,inf,2,500,40,0.381586560548,0.031853471719749615
0,inf,2,500,50,0.395427594342,0.03339679478926217
1,inf,2,500,50,0.397919989414,0.03171002568758762
2,inf,2,500,50,0.38513259849,0.03224890317346933
3,inf,2,500,50,0.388715518927,0.03252198870092175
4,inf,2,500,50,0.387657278002,0.03143122714758724
0,inf,2,500,60,0.408967935351,0.031545133892360015
1,inf,2,500,60,0.397370679326,0.0316200138117697
2,inf,2,500,60,0.410739557022,0.03102901605447924
3,inf,2,500,60,0.403623347984,0.029991262567645435
4,inf,2,500,60,0.406864801554,0.03073267171827725
0,inf,2,500,70,0.415628891113,0.031776487192707814
1,inf,2,500,70,0.420807518145,0.031158339978740054
2,inf,2,500,70,0.424531375928,0.03108052363503444
3,inf,2,500,70,0.418070087327,0.03325266749139152
4,inf,2,500,70,0.414122527504,0.03196285811604084
0,inf,2,500,80,0.429447641889,0.031974195375913665
1,inf,2,500,80,0.432003128736,0.029005730344085056
2,inf,2,500,80,0.420776450409,0.03262686094213449
3,inf,2,500,80,0.429297104861,0.034423775666083574
4,inf,2,500,80,0.424349113058,0.03202653861703571
0,inf,2,500,90,0.442555669498,0.030390288554667994
1,inf,2,500,90,0.434474819917,0.03384440933127866
2,inf,2,500,90,0.438646594148,0.029770290579775736
3,inf,2,500,90,0.441602703518,0.03168523879666612
4,inf,2,500,90,0.437761587433,0.03203970253850438
0,inf,2,500,100,0.439979738517,0.034120695942157844
1,inf,2,500,100,0.443952506102,0.032968785301320025
2,inf,2,500,100,0.451874305655,0.031610032477066084
3,inf,2,500,100,0.448524275493,0.03023445358333202
4,inf,2,500,100,0.445386587473,0.03128795946538047
