Metric,K,N,Mean,StandardDeviation
1,5,1,0.0,0.0
1,50,1,0.0,0.0
1,500,1,0.0,0.0
1,5,2,0.159112160675,0.2805963022339572
1,50,2,0.0395162247073,0.032655366229547976
1,500,2,0.00413786302572,0.004263275698904952
1,5,3,0.598734555278,0.1687573554649367
1,50,3,0.146550883898,0.06760861475128813
1,500,3,0.0449777342159,0.023607794164653848
1,5,4,0.488097765847,0.0969828174724137
1,50,4,0.203071878179,0.07215210726347464
1,500,4,0.0997944322393,0.03682285354444785
1,5,5,0.698247843729,0.13717377549421156
1,50,5,0.266460830902,0.06193309633782525
1,500,5,0.149039325258,0.047103578442444095
1,5,6,0.610490033105,0.23134931924469407
1,50,6,0.317317787019,0.0870716177508393
1,500,6,0.193850293616,0.047957256808040076
1,5,7,0.723945990432,0.09295367753770244
1,50,7,0.346816170671,0.06726403632128343
1,500,7,0.223668378806,0.0477922014542647
1,5,8,0.674053402535,0.09384389989176661
1,50,8,0.348321853035,0.07438715343431554
1,500,8,0.260175091411,0.048245847357355875
1,5,9,0.65741243804,0.191457861339231
1,50,9,0.405963519118,0.059027295012740316
1,500,9,0.281995844719,0.04801469692650227
1,5,10,0.595966241789,0.019645874420389377
1,50,10,0.416058274494,0.07200682920771186
1,500,10,0.308267214353,0.04499707983699173
1,5,20,0.796938200759,0.0420660460329062
1,50,20,0.547101802724,0.06381502571646087
1,500,20,0.449856400655,0.035383891323136255
1,5,30,0.798082689925,0.07821027642109273
1,50,30,0.607785842429,0.04848874888662316
1,500,30,0.526945380243,0.03359937476312129
1,5,40,0.839320056112,0.036447316002532
1,50,40,0.675881395927,0.03979992252131808
1,500,40,0.571713888557,0.030425878267452175
1,5,50,0.884603488604,0.03951027311218447
1,50,50,0.696397937974,0.04144365253226876
1,500,50,0.60943877387,0.028978298610866128
1,5,60,0.847192830047,0.08498610576449367
1,50,60,0.713198366978,0.04410269048998121
1,500,60,0.63800259531,0.026811127774186358
1,5,70,0.861533408268,0.029644275536595533
1,50,70,0.729282014604,0.042035284783935235
1,500,70,0.65824385702,0.0271075042102863
1,5,80,0.871855086329,0.024663922981040236
1,50,80,0.761742358606,0.032148416832864686
1,500,80,0.675151887895,0.023929153751313343
1,5,90,0.851284893277,0.049281175009265925
1,50,90,0.752433014721,0.04029609043969045
1,500,90,0.694015450486,0.021952740382877818
1,5,100,0.828727051298,0.05629767250012667
1,50,100,0.771439107491,0.027412292055312235
1,500,100,0.707841301936,0.02078257703898609
2,5,1,0.0,0.0
2,50,1,0.0,0.0
2,500,1,0.0,0.0
2,5,2,0.320402078143,0.41715799219855676
2,50,2,0.0328138375335,0.026003731307316622
2,500,2,0.00309331305192,0.003286785574317746
2,5,3,0.501340696734,0.11849068832949058
2,50,3,0.133582807874,0.06817718774814722
2,500,3,0.039200248097,0.021306571553480032
2,5,4,0.497676601615,0.22537767542076662
2,50,4,0.218672144046,0.07662029887283849
2,500,4,0.09467237237,0.03592002711382104
2,5,5,0.717157906299,0.13933603801187172
2,50,5,0.283369861543,0.07729243312854904
2,500,5,0.148339578324,0.039801528660957174
2,5,6,0.642035248542,0.12030962354275299
2,50,6,0.331119698601,0.06617290923253923
2,500,6,0.194158944485,0.045452738192689864
2,5,7,0.676735090062,0.0937540900898976
2,50,7,0.348328190653,0.07051850691159936
2,500,7,0.23268027939,0.04682092232772877
2,5,8,0.733919743385,0.1129988251221298
2,50,8,0.406579490035,0.05644931915924138
2,500,8,0.263142145099,0.04997727689474869
2,5,9,0.730539706899,0.09664605325050406
2,50,9,0.433900525563,0.06493798284449075
2,500,9,0.298643812038,0.04418167156369806
2,5,10,0.71503726012,0.08951817893055762
2,50,10,0.442376262498,0.059809118838745776
2,500,10,0.32208785848,0.04696304815558062
2,5,20,0.746563530534,0.0634740232819982
2,50,20,0.592896784979,0.05279067897285997
2,500,20,0.483439049265,0.0364610407924349
2,5,30,0.860583003842,0.05115596374096834
2,50,30,0.663331191665,0.039170985977509024
2,500,30,0.559759142351,0.032682618363453965
2,5,40,0.845831117815,0.032196577620340255
2,50,40,0.701537463177,0.037440106232254716
2,500,40,0.605849973808,0.031164943346980525
2,5,50,0.872785708274,0.07270918697110576
2,50,50,0.725146866536,0.036668507085299576
2,500,50,0.640859334019,0.028599710240696897
2,5,60,0.899296239766,0.016893988877172472
2,50,60,0.741400114077,0.029091096947513443
2,500,60,0.669116954224,0.024872572259130806
2,5,70,0.881442992522,0.03372606511225433
2,50,70,0.764742625888,0.033973131868924374
2,500,70,0.690035013385,0.02468451105332664
2,5,80,0.900442755276,0.031384894264091495
2,50,80,0.772906193742,0.032133330118933615
2,500,80,0.707319251906,0.02298609037449217
2,5,90,0.88449162279,0.018978941402853115
2,50,90,0.790233833458,0.025552740354071853
2,500,90,0.722254427065,0.020740249528471175
2,5,100,0.904369608721,0.02067049557867329
2,50,100,0.791012779637,0.023061315013383942
2,500,100,0.733508461233,0.020766945855682936
inf,5,1,0.0,0.0
inf,50,1,0.0,0.0
inf,500,1,0.0,0.0
inf,5,2,0.496513421538,0.30806349066503774
inf,50,2,0.0349835415483,0.02457436402870288
inf,500,2,0.00406817267941,0.004239070096546389
inf,5,3,0.593799076588,0.15418190153684957
inf,50,3,0.13948585621,0.0844095755688574
inf,500,3,0.0469170794218,0.02418566462685757
inf,5,4,0.500427447327,0.2210444009246796
inf,50,4,0.222307513516,0.07778153444431248
inf,500,4,0.105901922565,0.04119971649043253
inf,5,5,0.566829065994,0.16077668410862186
inf,50,5,0.246340000766,0.09214794629007875
inf,500,5,0.159846717351,0.046632365688592435
inf,5,6,0.60649549296,0.14212492601631727
inf,50,6,0.317418423607,0.07966043808319524
inf,500,6,0.196436577952,0.050071821137434316
inf,5,7,0.726868680586,0.10181615366282616
inf,50,7,0.305496444196,0.06207127737439153
inf,500,7,0.229054361938,0.047537530225308725
inf,5,8,0.667525545414,0.16701400721823306
inf,50,8,0.348396011108,0.06438083842980209
inf,500,8,0.256996376681,0.05087531050637582
inf,5,9,0.637480412032,0.09413094297796831
inf,50,9,0.387517555554,0.06284565231630639
inf,500,9,0.275165802939,0.047478204180881056
inf,5,10,0.731505145278,0.07471909228022951
inf,50,10,0.381742582952,0.057240237216241385
inf,500,10,0.290212368943,0.05084270861789207
inf,5,20,0.744877508183,0.04174464967054105
inf,50,20,0.461208731807,0.05212375763735524
inf,500,20,0.378340610468,0.048030311711685904
inf,5,30,0.798220168961,0.01751090015389586
inf,50,30,0.497942692584,0.04976171447500642
inf,500,30,0.412685722077,0.038423715718208816
inf,5,40,0.669987547409,0.08888970222846428
inf,50,40,0.512622941956,0.05506016822067148
inf,500,40,0.440623395749,0.037469207410272154
inf,5,50,0.817335884413,0.05839858450023748
inf,50,50,0.540028350134,0.04289140676750413
inf,500,50,0.449717074409,0.037698030214770605
inf,5,60,0.770857519656,0.07081241267627769
inf,50,60,0.539315114651,0.048237439265042585
inf,500,60,0.457898349487,0.036761160253099945
inf,5,70,0.686852215155,0.07864654697396455
inf,50,70,0.536376226281,0.04706738015834804
inf,500,70,0.465057021359,0.03521997543973546
inf,5,80,0.783071438281,0.04261323354811089
inf,50,80,0.554513535946,0.0451725452100729
inf,500,80,0.47435535271,0.03486534233379316
inf,5,90,0.666461008823,0.06391458222201357
inf,50,90,0.545247725278,0.0459531309234559
inf,500,90,0.479988311773,0.034233778046890914
inf,5,100,0.797201748876,0.02831930071553459
inf,50,100,0.563930686553,0.05064434976718656
inf,500,100,0.486099034068,0.032399529792803264
